Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
297,MTurk1,21,Male,BM,2a,0,0.9,1,0.1,23.552,9.927,1,1,0.9,0.9,1,1,1,1,1.390086875,1.038500943,0.351585932,0,0
298,MTurk1,22,Male,PE,2b,1,0.05,1,0.9,176.273,14.283,1,1,0.5,0.25,1,0,1,0,2.248642594,1.184208613,1.064433981,0,0.25
299,MTurk1,20,Female,BM,2a,0,0.9,1,0.1,12.954,6.035,1,1,0.8,0.7,NA,NA,0,0,1.144698719,0.847264102,0.297434617,0,0.1
300,MTurk1,26,Female,BM,1b,1,0.45,1,0.1,13.86,17.585,1,1,0.85,0.95,1,0,1,0,1.172018809,1.269162565,-0.097143756,0,-0.1
301,MTurk1,28,Female,BM,1b,1,0.45,1,0.1,47.316,16.587,1,1,0.5,1,1,0,1,0,1.684090973,1.245191764,0.438899209,0,-0.5
302,MTurk1,29,Male,BM,2a,0,0.9,1,0.1,10.078,6.547,1,1,0.7,0.8,NA,NA,1,1,1.044461361,0.87777435,0.166687011,0,-0.1
303,MTurk1,23,Male,PE,2b,1,0.05,1,0.9,10.888,18.331,1,1,0.9,0.75,1,0,1,0,1.075108796,1.286254321,-0.211145524,0,0.15
304,MTurk1,29,Male,BM,1b,1,0.45,1,0.1,39.171,49.309,1,1,0.1,0.1,1,0,1,0,1.603912643,1.701645685,-0.097733042,0,0
305,MTurk1,27,Male,BM,2a,0,0.9,1,0.1,29.145,7.875,1,1,0.3,0.78,NA,NA,1,1,1.479215288,0.948168362,0.531046926,0,-0.48
306,MTurk1,25,Male,BM,1b,0,0.9,1,0.1,5.15,258.303,1,1,0.9,0.95,0,0,0,0,0.788875116,2.413807541,-1.624932426,0,-0.05
307,MTurk1,22,Male,BM,1b,0,0.9,1,0.1,64.077,10.435,0.5,1,1,0.2,1,0,1,0,1.813427524,1.058236169,0.755191355,-0.5,0.8
308,MTurk1,24,Female,PE,1a,0,0.1,1,0.9,104.189,147.119,1,0.95,0.9,0.9,1,1,1,1,2.021970326,2.170610771,-0.148640445,0.05,0
309,MTurk1,22,Male,PE,1a,0,0.1,1,0.9,40.181,8.327,0.1,0.9,0.75,0.8,1,1,1,1,1.614696888,0.969741977,0.644954912,-0.8,-0.05
310,MTurk1,24,Female,BM,2a,1,0.45,1,0.1,12.164,11.934,1,1,90,75,1,0,1,0,1.119387874,1.111732857,0.007655017,0,15
311,MTurk1,26,Male,PE,2b,1,0.05,1,0.9,14.394,30.289,1,1,0.4,0.95,1,0,1,0,1.187351482,1.495391683,-0.308040201,0,-0.55
312,MTurk1,25,Male,PE,1a,0,0.1,1,0.9,6.542,10.573,1,1,0.9,0.8,1,1,1,1,0.877486528,1.063445953,-0.185959425,0,0.1
313,MTurk1,23,Male,PE,1a,1,0.05,1,0.9,70.716,187.58,1,1,1,0.8,NA,NA,0,1,1.855616059,2.275495631,-0.419879573,0,0.2
314,MTurk1,28,Male,BM,2a,0,0.7,1,0.1,34.95,13.436,0.5,0.5,0.75,0.75,1,1,1,1,1.555698895,1.159446873,0.396252021,0,0
315,MTurk1,24,Male,PE,2b,1,0.05,1,0.9,52.06,7.043,1,1,0.5,0.5,1,NA,1,0,1.724767246,0.905418069,0.819349177,0,0
316,MTurk1,35,Female,PE,2b,1,0.05,1,0.9,7.237,26.063,1,1,0.8,0.7,1,0,1,0,0.915769066,1.432375938,-0.516606872,0,0.1
317,MTurk1,25,Male,PE,2b,1,0.05,1,0.9,8.496,22.138,1,1,0.9,0.5,1,0,1,0,0.977540706,1.364325817,-0.386785111,0,0.4
318,MTurk1,20,Male,BM,2a,1,0.45,1,0.1,24.722,16.25,1,1,0.99,0.95,1,0,1,0,1.410304734,1.236789099,0.173515634,0,0.04
319,MTurk1,23,Male,BM,2a,0,0.9,1,0.1,9.999,5.889,1,1,0.95,0.85,1,1,1,1,1.041353202,0.838156185,0.203197017,0,0.1
320,MTurk1,39,Male,PE,2b,0,0.1,1,0.9,48.456,30.207,1,1,0.85,0.95,1,0,1,0,1.694218988,1.494252021,0.199966967,0,-0.1
321,MTurk1,23,Male,BM,2a,0,0.9,1,0.1,122.208,23.939,1,1,0.3,0.3,1,1,1,1,2.090638908,1.396879035,0.693759873,0,0
322,MTurk1,20,Male,BM,2b,0,0.9,1,0.1,13.05,11.838,1,1,0.99,0.9,1,0,1,0,1.147676324,1.108497371,0.039178953,0,0.09
323,MTurk1,21,Male,PE,1a,0,0.1,1,0.9,34.039,8.047,1,1,0.75,0.8,1,0,1,0,1.544551703,0.95650459,0.588047113,0,-0.05
324,MTurk1,23,Male,BM,2a,0,0.9,1,0.1,23.261,6.651,1,1,0.5,0.6,1,1,1,1,1.384908698,0.883718202,0.501190496,0,-0.1
325,MTurk1,39,Female,PE,2b,1,0.05,1,0.9,4.714,13.515,0.98,0.65,0.75,0.65,0,1,0,1,0.756940236,1.16181704,-0.404876804,0.33,0.1
326,MTurk1,24,Male,PE,1a,0,0.1,1,0.9,7.433,9.377,0.99,1,0.98,0.98,NA,NA,1,1,0.9259821,1.016071817,-0.090089716,-0.01,0
327,MTurk1,46,Female,BM,2b,0,0.9,1,0.1,9.909,9.654,1,1,0.75,0.95,1,0,1,0,1.037784942,1.027512692,0.010272249,0,-0.2
328,MTurk1,24,Male,PE,1a,1,0.05,1,0.9,6.807,18.837,0.9,0.8,0.8,0.8,1,0,1,0,0.892484179,1.297475993,-0.404991814,0.1,0
329,MTurk1,21,Female,PE,1a,1,0.05,1,0.9,30.924,17.566,0.9,0.5,0.5,0.5,1,0,1,0,1.504117302,1.268718346,0.235398956,0.4,0
330,MTurk1,21,Male,PE,2b,1,0.05,1,0.9,16.242,12.65,1,1,1,0.66,1,0,1,0,1.236587641,1.135132651,0.101454989,0,0.34
331,MTurk1,32,Male,BM,1b,0,0.9,1,0.1,38.326,19.664,0.75,0.99,0.6,0.99,0,0,1,0,1.594679775,1.315214393,0.279465382,-0.24,-0.39
332,MTurk1,18,Male,BM,1b,0,0.9,1,0.1,9.622,8.662,1,1,0.8,0.8,1,1,1,1,1.026206297,0.985067033,0.041139264,0,0
333,MTurk1,33,Male,PE,1a,0,0.1,1,0.9,23.519,14.959,1,1,0.98,0.98,0,0,0,0,1.389502754,1.203005675,0.186497079,0,0
334,MTurk1,24,Male,BM,1b,0,0.9,1,0.1,66.028,10.37,1,1,0.5,0.5,1,1,1,1,1.826256261,1.055760465,0.770495796,0,0
335,MTurk1,29,Female,BM,2a,0,0.9,1,0.1,9.141,3.799,1,1,0.75,0.75,1,1,1,1,1.006080783,0.68115075,0.324930033,0,0
336,MTurk1,24,Male,BM,2a,1,0.45,1,0.1,16.127,8.559,1,1,0.95,1,1,0,1,0,1.233681298,0.980412462,0.253268836,0,-0.05
337,MTurk1,29,Male,BM,1b,1,0.45,1,0.1,70.133,15.849,1,1,1,0.35,NA,NA,1,0,1.852071125,1.22657413,0.625496995,0,0.65
338,MTurk1,25,Male,BM,1b,0,0.9,1,0.1,60.037,17.615,0.5,0.5,0.6,0.6,1,1,1,1,1.78559318,1.269863041,0.515730139,0,0
